evaluation,local_epochs,clients_per_round,lr,loss,accuracy,comm,fitness
1,7,11,0.05893815160885174,0.37397841761509576,0.8619576215744018,14182432,0.5158027376150958
2,6,14,0.02091185326978309,0.720894189675649,0.8118701100349426,18050368,0.901397869675649
3,3,13,0.014504574862491588,1.411061958471934,0.5311219374338786,16761056,4.267453144133149
4,4,4,0.03438837598358285,0.6516751408576965,0.7616278092066447,5157248,1.0869695287912495
5,6,10,0.07581662154146972,0.3577912757794062,0.8706709941228231,12893120,0.4867224757794062
6,2,7,0.048857532553733,0.9561137815316518,0.6984454353650411,9025184,2.061911267881241
7,1,7,0.004848258809314512,1.734563140074412,0.3185386354724566,9025184,6.639428625349846
8,4,18,0.03864038914948127,0.5925052503744761,0.8313234070936839,23207616,0.8245814103744761
9,8,17,0.0672589670688496,0.29417215287685394,0.8934228201707204,21918304,0.5133551928768539
10,6,6,0.07581662154146972,0.3829081177711487,0.8503411451975504,7735872,0.4602668377711487
11,5,6,0.055996676617840545,0.41949696888526283,0.8559341351191203,7735872,0.4968556888852628
12,7,13,0.014504574862491588,0.8423014044761657,0.689008183280627,16761056,2.1198301316698966
13,7,4,0.054913704135562375,0.38622606347004573,0.8595418234666189,5157248,0.43779854347004576
14,7,11,0.06051986312522799,0.35492188135782876,0.872294690211614,14182432,0.49674620135782876
15,7,3,0.041220106351228566,0.428548634548982,0.8569134672482809,3867936,0.467227994548982
16,1,14,0.04425298028970391,1.3226747552553813,0.5176045596599579,18050368,4.327132838655803
17,5,13,0.04753572561841639,0.47978002031644185,0.8294343988100688,16761056,0.6473905803164418
18,6,4,0.03327484463944727,0.4944317569335302,0.8159936726093292,5157248,0.5460042369335302
