client_id,loss,accuracy,test_samples,train_samples
1,0.012691408395767212,1.0,87,260
2,0.07469320297241211,0.9736841917037964,76,226
3,0.01334022544324398,1.0,86,255
4,0.07128391414880753,0.9624999761581421,80,237
5,0.04159552976489067,0.9736841917037964,76,226
6,0.08685516566038132,0.9756097793579102,82,243
7,0.0173256266862154,1.0,77,231
8,0.012768987566232681,1.0,71,210
9,0.2084936499595642,0.9444444179534912,72,216
10,0.017439551651477814,1.0,74,220
11,0.06811222434043884,0.9873417615890503,79,237
12,0.025070110335946083,1.0,80,240
13,0.02832765132188797,0.9878048896789551,82,245
14,0.011972389183938503,1.0,81,242
15,0.036696627736091614,0.9878048896789551,82,246
16,0.13580600917339325,0.967391312122345,92,274
17,0.045107949525117874,0.97826087474823,92,276
18,0.0157507061958313,1.0,91,273
19,0.019388318061828613,1.0,90,270
20,0.023636633530259132,0.9887640476226807,89,265
21,0.050745364278554916,0.970588207244873,102,306
22,0.019287215545773506,1.0,81,240
23,0.017436431720852852,0.9892473220825195,93,279
24,0.04115303233265877,0.9895833134651184,96,285
25,0.03728601709008217,0.9805825352668762,103,306
26,0.010054059326648712,1.0,98,294
27,0.019179468974471092,1.0,94,282
28,0.019424373283982277,1.0,96,286
29,0.035771701484918594,0.9767441749572754,86,258
30,0.01349447201937437,1.0,96,287
